,,,,,,Manual Data Entries,,,,Well:22M,
Date,Time,In (ft),In (mm),Elevation (ft),,Date,Time,In (mm),,,
3/11/21,9:05 AM,6.14,1872.70,14.48,,03/11/21,09:05 AM,1872.70,,,
3/18/21,9:25 AM,5.85,1784.25,14.77,,03/18/21,09:25 AM,1784.25,,,
3/21/21,10:00 AM,5.61,1711.05,15.01,,03/21/21,10:00 AM,1711.05,,Length from base:,1.189m
3/28/21,9:11 AM,5.72,1744.60,14.90,,03/28/21,09:11 AM,1744.60,,Length of string:,n/a
4/25/21,9:12 AM,5.53,1686.65,15.09,,04/25/21,09:12 AM,1686.65,,,
5/2/21,10:34 AM,6.10,1860.50,14.52,,05/02/21,10:34 AM,1860.50,,,
5/16/21,10:31 AM,6.75,2058.75,13.87,,05/16/21,10:31 AM,2058.75,,,
5/24/21,10:00 AM,7.04,2147.20,13.58,,05/24/21,10:00 AM,2147.20,,,
5/31/21,10:08 AM,7.22,2202.10,13.40,,05/31/21,10:08 AM,2202.10,,,
6/5/21,10:08 AM,6.27,1912.35,14.35,,06/05/21,10:08 AM,1912.35,,,
6/12/21,9:39 AM,6.71,2046.55,13.91,,06/12/21,09:39 AM,2046.55,,,
6/19/21,11:53 AM,6.21,1893.00,14.41,,06/19/21,11:53 AM,1893.00,,,
6/27/21,9:35 AM,6.33,1932.00,14.29,,06/27/21,09:35 AM,1932.00,,,
7/9/21,9:45 AM,3.99,1216.00,16.63,,07/09/21,09:45 AM,1216.00,,,
7/18/21,9:09 AM,3.88,1183.00,16.74,,07/18/21,09:09 AM,1183.00,,,
7/23/21,9:21 AM,4.00,1219.20,16.62,,07/23/21,09:21 AM,1219.20,,,
7/31/21,10:30 AM,4.01,1222.00,16.61,,07/31/21,10:30 AM,1222.00,,,
8/7/21,9:53 AM,3.81,1161.00,16.81,,08/07/21,09:53 AM,1161.00,,,
8/13/21,9:48 AM,3.66,1116.00,16.96,,08/13/21,09:48 AM,1116.00,,,
8/21/21,9:58 AM,3.52,1073.00,17.10,,08/21/21,09:58 AM,1073.00,,,
8/27/21,2:17 PM,3.40,1036.00,17.22,,08/27/21,02:17 PM,1036.00,,,
9/3/21,1:40 PM,3.49,1064.00,17.13,,09/03/21,01:40 PM,1064.00,,,
9/11/21,9:56 AM,3.17,966.00,17.45,,09/11/21,09:56 AM,966.00,,,
9/17/21,1:42 PM,3.27,997.00,17.35,,09/17/21,01:42 PM,997.00,,,
9/25/21,10:00 AM,3.51,1070.00,17.11,,09/25/21,10:00 AM,1070.00,,,
10/2/21,9:44 AM,3.58,1091.00,17.04,,10/02/21,09:44 AM,1091.00,,,
10/8/21,1:33 PM,3.49,1064.00,17.13,,10/08/21,01:33 PM,1064.00,,,
10/22/21,1:06 PM,3.87,1180.00,16.75,,10/22/21,01:06 PM,1180.00,,,