,,,,,,Manual Data Entries,,,,Well:MM,
Date,Time,In (ft),In (mm),Elevation (ft),,Date,Time,In (mm),,,
3/11/21,9:17 AM,6.3,1921.5,13.39,,3/11/21,9:17 AM,1921.5,,,
3/18/21,9:37 AM,6.03,1839.15,13.66,,3/18/21,9:37 AM,1839.15,,Length from base:,1.125
3/21/21,10:15 AM,5.69,1735.45,14.00,,3/21/21,10:15 AM,1735.45,,Length of string:,n/a
3/28/21,9:30 AM,5.9,1799.5,13.79,,3/28/21,9:30 AM,1799.5,,,
4/25/21,9:25 AM,5.8,1769,13.89,,4/25/21,9:25 AM,1769,,,
5/2/21,-,#VALUE!,-,#VALUE!,,5/2/21,-,-,,,
5/16/21,-,#VALUE!,-,#VALUE!,,5/16/21,-,-,,,
5/24/21,10:12 AM,7,2135,12.69,,5/24/21,10:12 AM,2135,,,
5/31/21,9:56 AM,7.12,2171.6,12.57,,5/31/21,9:56 AM,2171.6,,,
6/5/21,10:23 AM,6.13,1869.65,13.56,,6/5/21,10:23 AM,1869.65,,,
6/12/21,9:22 AM,6.65,2028.25,13.04,,6/12/21,9:22 AM,2028.25,,,
6/19/21,11:43 AM,8.35,2548,11.33,,6/19/21,11:43 AM,2548,,,
6/27/21,9:41 AM,6.20,1890,13.49,,6/27/21,9:41 AM,1890,,,
7/9/21,9:37 AM,3.80,1158,15.89,,7/9/21,9:37 AM,1158,,,
7/18/21,9:21 AM,5.92,1807,13.76,,7/18/21,9:21 AM,1807,,,
7/23/21,9:35 AM,3.85,1173,15.84,,7/23/21,9:35,1173,,,
7/31/21,10:44 AM,3.91,1192,15.78,,7/31/21,10:44,1192,,,
8/7/21,10:02 AM,3.53,1076,16.16,,8/7/21,10:02,1076,,,
8/13/21,10:02 AM,3.51,1070,16.18,,8/13/21,10:02,1070,,,
8/21/21,10:08 AM,3.37,1027,16.32,,8/21/21,10:08,1027,,,
8/27/21,2:11 PM,3.28,1000,16.41,,8/27/21,14:11,1000,,,
9/3/21,2:10 PM,3.50,1067,16.19,,9/3/21,14:10,1067,,,
9/11/21,10:15 AM,3.53,1076,16.16,,9/11/21,10:15,1076,,,
9/17/21,1:53 PM,3.18,969,16.51,,9/17/21,13:53,969,,,
9/25/21,10:14 AM,3.39,1033,16.30,,9/25/21,10:14,1033,,,
10/2/21,9:58 AM,3.35,1021,16.34,,10/2/21,9:58,1021,,,
10/8/21,1:47 PM,3.32,1012,16.37,,10/8/21,13:47,1012,,,
10/22/21,2:11 PM,3.75,1143,15.94,,10/22/21,14:11,1143,,,